label,message
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,URGENT! You have won a cash prize. Send your bank details to receive it.
spam,Free entry! Reply WIN to claim your exclusive reward today.
spam,"Congratulations, you are selected for a free vacation. Click the link now."
spam,Get rich quick! Earn $5000 per week from home. Sign up today.
spam,Your account has won a lottery prize. Pay the processing fee to collect it.
spam,Exclusive offer! Buy now and get 90 percent discount.
spam,You have been selected for a special bonus. Claim your reward immediately.
spam,Act now! Limited time offer. Click here to receive your free gift.
spam,Win a brand new phone today. Enter your details to participate.
spam,Your loan has been approved. Click here to receive the money instantly.
spam,Earn money easily from home with this amazing opportunity.
spam,Congratulations winner! Contact us immediately to receive your prize.
spam,FREE tickets available now. Click the link before they expire.
spam,Claim your cash reward now by confirming your personal information.
spam,Special promotion: You are eligible for a free premium membership.
spam,"Get cheap insurance today. Limited offer, apply immediately."
spam,Important: Your payment failed. Verify your card details using this link.
spam,You have received a secret bonus. Open this message to claim it.
spam,Double your money fast with our guaranteed investment opportunity.
ham,"Hi, how are you doing today?"
ham,Please send me the project report before the meeting.
ham,Your class will start at 10 AM tomorrow.
ham,Can we meet for lunch tomorrow?
ham,Thanks for helping me with the assignment.
ham,Please call me when you are free.
ham,The meeting has been moved to 3 PM.
ham,Don't forget to bring your laptop tomorrow.
ham,I have attached the document for your review.
ham,Are you coming to the office today?
ham,Please submit your application before Friday.
ham,Happy birthday! Have a wonderful day.
ham,Let's discuss the project after lunch.
ham,Your interview is scheduled for Monday at 11 AM.
ham,Can you send me the notes from yesterday's class?
ham,I will be late by ten minutes.
ham,Thank you for your email. I will get back to you soon.
ham,Please remember to complete the task today.
ham,See you at the library this evening.
ham,The package will arrive tomorrow afternoon.
